OrderID,OrderDate,CustomerName,Product,Quantity,Price,Discount,Total
O000000,March 5 2023,,,,500,0.1,0
O000001,2023-01-01,,TV,1,500,0,500
O000002,01/02/2023,John,Laptop,3,100,,300
O000003,,John,TV,2,100,0.1,200
O000004,01/02/2023,,Laptop,,,,0
O000005,March 5 2023,,Phone,,200,,0
,,,Phone,2,100,0.1,200
O000007,2023-01-01,,,1,100,,100
O000008,01/02/2023,Sita,,3,abc,0.2,0
O000009,,Ram,Laptop,2,500,,1000
O000010,01/02/2023,,Laptop,1,100,,100
O000011,01/02/2023,,Shoes,,abc,0.2,0
O000012,March 5 2023,Sita,Shoes,2,200,,400
O000013,01/02/2023,,Phone,2,,,0
O000014,,,Phone,,,,0
O000015,,John,Shoes,,100,0,0
O000016,,Sita,Phone,,200,,0
O000017,,Ram,Laptop,3,100,0.1,300
O000018,,Sita,Phone,3,200,,600
O000019,01/02/2023,John,,,,,0
O000020,01/02/2023,John,TV,2,200,,400
O000021,2023-01-01,,,3,100,,300
O000022,01/02/2023,,Shoes,,500,0,0
O000023,2023-01-01,John,Laptop,,500,,0
O000024,,Ram,Shoes,2,500,0.1,1000
O000025,March 5 2023,Ram,Phone,,100,0.1,0
O000026,March 5 2023,John,Shoes,3,500,0.1,1500
O000027,March 5 2023,,Laptop,1,500,0,500
O000028,01/02/2023,,,,abc,0.2,0
O000029,March 5 2023,Sita,,,,0.2,0
O000030,March 5 2023,,TV,,,0.1,0
O000031,,,Laptop,1,200,0,200
,01/02/2023,Sita,Shoes,,,,0
O000033,March 5 2023,,Phone,,100,0.2,0
O000034,,,TV,,500,0.2,0
O000035,,Sita,Laptop,2,200,0.2,400
O000036,2023-01-01,,Shoes,,100,,0
O000037,2023-01-01,Ram,Phone,,100,0,0
O000038,2023-01-01,Ram,Shoes,2,500,0.1,1000
O000039,2023-01-01,Sita,Shoes,,200,0,0
O000040,,John,Shoes,2,200,0.1,400
O000041,,John,Phone,2,200,0.1,400
O000042,,,,2,100,,200
O000043,2023-01-01,Sita,,,100,0.2,0
O000044,01/02/2023,Sita,Shoes,,200,,0
O000045,01/02/2023,,Laptop,3,100,,300
O000046,2023-01-01,,,2,,0.2,0
O000047,,John,Shoes,3,200,0.2,600
O000048,March 5 2023,,Laptop,1,200,0.1,200
O000049,March 5 2023,,,,,,0
O000050,,Ram,Shoes,2,100,0.2,200
,March 5 2023,,Shoes,3,,,0
O000052,01/02/2023,Ram,,3,abc,0,0
O000053,2023-01-01,,,,,,0
O000054,March 5 2023,,,,abc,,0
O000055,March 5 2023,John,Phone,2,100,,200
O000056,,,Laptop,3,200,,600
O000057,2023-01-01,,Phone,,abc,,0
O000058,01/02/2023,,,,100,,0
O000059,,Ram,TV,,100,0.1,0
,2023-01-01,Sita,Laptop,1,200,0.2,200
O000061,,,Phone,2,100,0.2,200
O000062,01/02/2023,,Shoes,2,,0,0
O000063,,Ram,Laptop,,,0.2,0
O000064,01/02/2023,,,1,500,0.2,500
O000065,,John,Laptop,,,0.1,0
O000066,,Sita,,1,200,,200
O000067,01/02/2023,Ram,,,200,,0
,01/02/2023,John,,,500,,0
,,,Phone,,500,0.2,0
O000070,2023-01-01,,Shoes,2,200,,400
O000071,2023-01-01,Sita,TV,,,0.2,0
O000072,,,Shoes,2,500,0.1,1000
O000073,2023-01-01,Ram,Shoes,1,100,0.1,100
O000074,01/02/2023,Sita,,,100,0.1,0
O000075,01/02/2023,Ram,,2,200,,400
O000076,,,Laptop,2,500,,1000
O000077,01/02/2023,,Phone,,100,0.2,0
O000078,01/02/2023,Sita,,2,500,0,1000
O000079,01/02/2023,Ram,Shoes,3,100,0.2,300
O000080,,,Laptop,3,,,0
O000081,,Ram,TV,1,abc,,0
O000082,01/02/2023,Sita,TV,3,500,,1500
O000083,,John,,1,100,0.2,100
O000084,March 5 2023,Ram,TV,1,,0.2,0
O000085,2023-01-01,John,Phone,,100,,0
O000086,2023-01-01,Ram,Phone,3,,0.1,0
O000087,,Ram,Shoes,,,0.2,0
O000088,01/02/2023,Ram,TV,1,,,0
O000089,2023-01-01,,Laptop,1,,0,0
O000090,March 5 2023,Ram,,1,abc,0.1,0
O000091,,,,3,abc,0,0
O000092,2023-01-01,,TV,1,200,0,200
O000093,2023-01-01,,Phone,,abc,,0
O000094,,Ram,TV,,100,0,0
O000095,March 5 2023,Ram,,2,abc,0.2,0
O000096,2023-01-01,Ram,Shoes,3,,,0
O000097,,John,Phone,,500,,0
O000098,,Sita,Shoes,2,,0.1,0
O000099,2023-01-01,John,Shoes,3,100,0.2,300
O000100,,,,2,200,,400
O000101,,,,,200,0.1,0
O000102,01/02/2023,,Laptop,,200,0,0
O000103,2023-01-01,,Laptop,,500,,0
O000104,,,Laptop,1,100,,100
O000105,,John,TV,3,abc,0.1,0
O000106,01/02/2023,,Phone,,500,,0
O000107,,Ram,,1,,,0
O000108,2023-01-01,Ram,,3,,0.2,0
O000109,01/02/2023,,Phone,1,100,,100
O000110,01/02/2023,John,Laptop,2,500,,1000
O000111,01/02/2023,John,,2,100,,200
O000112,01/02/2023,,,1,,,0
O000113,,Ram,Shoes,,200,0.1,0
O000114,2023-01-01,,,,,,0
O000115,,Ram,Laptop,3,500,0.1,1500
O000116,,,TV,,,,0
O000117,2023-01-01,Sita,Phone,1,abc,,0
O000118,,John,,,,0,0
O000119,March 5 2023,,,,500,,0
O000120,,Ram,Shoes,2,100,0.2,200
O000121,,Sita,Phone,1,abc,0.2,0
O000122,,Ram,TV,1,abc,0,0
O000123,March 5 2023,Sita,,,500,0.1,0
O000124,,John,Phone,,200,0.1,0
O000125,,,TV,,100,,0
O000126,,Ram,TV,,500,0.1,0
O000127,,Ram,Shoes,2,200,,400
O000128,01/02/2023,John,,2,500,,1000
O000129,,Ram,,,200,,0
O000130,,,Phone,1,200,0.1,200
O000131,2023-01-01,Ram,,,500,,0
O000132,01/02/2023,Sita,,3,abc,0.2,0
O000133,01/02/2023,,,3,500,0.2,1500
O000134,,Sita,Phone,,abc,0.2,0
O000135,March 5 2023,John,,,100,0.1,0
O000136,2023-01-01,John,,2,100,0.1,200
O000137,01/02/2023,Ram,Phone,,100,0.2,0
O000138,March 5 2023,,TV,1,abc,0,0
O000139,2023-01-01,Sita,Phone,,,,0
O000140,2023-01-01,John,,1,abc,,0
O000141,March 5 2023,John,TV,,500,,0
O000142,March 5 2023,,,,200,0,0
O000143,01/02/2023,Sita,,3,500,,1500
O000144,2023-01-01,,Shoes,,100,,0
O000145,2023-01-01,,,,200,0.1,0
O000146,2023-01-01,,,1,abc,0.1,0
